sample id;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;type
W2749;5.8;0.17;0.34;1.8;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;8;white
W2750;7.3;0.26;0.33;11.8;0.057;48.0;127.0;0.99693;3.1;0.55;10.0;6;white
W2751;5.8;0.17;0.34;1.8;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;8;white
W2752;6.8;0.17;0.36;1.4;0.036;38.0;108.0;0.99006;3.19;0.66;12.0;6;white
W2753;7.1;0.43;0.3;6.6;0.025;15.0;138.0;0.99126;3.18;0.46;12.6;6;white
W2754;5.8;0.315;0.27;1.55;0.026;15.0;70.0;0.98994;3.37;0.4;11.9;8;white
W2755;5.9;0.17;0.28;0.7;0.027;5.0;28.0;0.98985;3.13;0.32;10.6;5;white
W2756;6.6;0.34;0.18;6.4;0.082;47.0;240.0;0.9971;3.42;0.48;9.2;5;white
W2757;8.6;0.33;0.34;11.8;0.059;42.0;240.0;0.99882;3.17;0.52;10.0;6;white
W2758;5.6;0.12;0.26;4.3;0.038;18.0;97.0;0.99477;3.36;0.46;9.2;5;white
W2759;5.8;0.13;0.26;5.1;0.039;19.0;103.0;0.99478;3.36;0.47;9.3;6;white
W2760;7.7;0.18;0.35;5.8;0.055;25.0;144.0;0.99576;3.24;0.54;10.2;6;white
W2761;7.7;0.16;0.36;5.9;0.054;25.0;148.0;0.99578;3.25;0.54;10.2;6;white
W2762;6.0;0.26;0.15;1.3;0.06;51.0;154.0;0.99354;3.14;0.51;8.7;5;white
W2763;7.3;0.32;0.35;1.4;0.05;8.0;163.0;0.99244;3.24;0.42;10.7;5;white
W2764;7.7;0.3;0.34;1.2;0.048;4.0;119.0;0.99084;3.18;0.34;12.1;6;white
W2765;7.9;0.16;0.3;7.4;0.05;58.0;152.0;0.99612;3.12;0.37;9.5;6;white
W2766;6.4;0.27;0.29;10.8;0.028;17.0;118.0;0.99356;3.18;0.37;11.2;6;white
W2767;6.9;0.16;0.37;1.8;0.034;36.0;95.0;0.98952;2.93;0.59;12.0;6;white
W2768;7.9;0.16;0.3;7.4;0.05;58.0;152.0;0.99612;3.12;0.37;9.5;6;white
W2769;7.7;0.3;0.34;1.2;0.048;4.0;119.0;0.99084;3.18;0.34;12.1;6;white
W2770;7.3;0.32;0.35;1.4;0.05;8.0;163.0;0.99244;3.24;0.42;10.7;5;white
W2771;6.4;0.44;0.44;14.4;0.048;29.0;228.0;0.99955;3.26;0.54;8.8;7;white
W2772;6.3;0.2;0.24;1.7;0.052;36.0;135.0;0.99374;3.8;0.66;10.8;6;white
W2773;6.2;0.29;0.32;3.6;0.026;39.0;138.0;0.9892;3.31;0.37;13.1;7;white
W2774;7.6;0.39;0.32;3.6;0.035;22.0;93.0;0.99144;3.08;0.6;12.5;7;white
W2775;7.0;0.36;0.32;10.05;0.045;37.0;131.0;0.99352;3.09;0.33;11.7;8;white
W2776;7.0;0.36;0.32;10.05;0.045;37.0;131.0;0.99352;3.09;0.33;11.7;8;white
W2777;7.0;0.36;0.32;10.5;0.045;35.0;135.0;0.9935;3.09;0.33;11.6;8;white
W2778;7.6;0.2;0.36;1.9;0.043;24.0;111.0;0.99237;3.29;0.54;11.3;6;white
W2779;7.6;0.39;0.32;3.6;0.035;22.0;93.0;0.99144;3.08;0.6;12.5;7;white
W2780;6.7;0.2;0.37;1.65;0.025;42.0;103.0;0.99022;3.11;0.45;11.4;5;white
W2781;6.2;0.235;0.34;1.9;0.036;4.0;117.0;0.99032;3.4;0.44;12.2;5;white
W2782;7.8;0.965;0.6;65.8;0.074;8.0;160.0;1.03898;3.39;0.69;11.7;6;white
W2783;7.1;0.2;0.31;6.85;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6;white
W2784;7.1;0.2;0.31;7.4;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6;white
W2785;7.1;0.2;0.31;7.4;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6;white
W2786;6.4;0.24;0.25;20.2;0.083;35.0;157.0;0.99976;3.17;0.5;9.1;5;white
W2787;8.0;0.3;0.36;11.0;0.034;8.0;70.0;0.99354;3.05;0.41;12.2;6;
W2788;6.4;0.24;0.25;20.2;0.083;35.0;157.0;0.99976;3.17;0.5;9.1;5;white
W2789;6.9;0.4;0.42;6.2;0.066;41.0;176.0;0.99552;3.12;0.54;9.4;5;white
W2790;6.9;0.4;0.43;6.2;0.065;42.0;178.0;0.99552;3.11;0.53;9.4;5;white
W2791;7.1;0.2;0.31;6.85;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6;white
W2792;6.6;0.25;0.51;8.0;0.047;61.0;189.0;0.99604;3.22;0.49;9.2;5;white
W2793;6.8;0.26;0.44;8.2;0.046;52.0;183.0;0.99584;3.2;0.51;9.4;5;white
W2794;6.5;0.37;0.3;2.2;0.033;39.0;107.0;0.98894;3.22;0.53;13.5;7;white
W2795;6.8;0.35;0.53;10.1;0.053;37.0;151.0;0.9963;3.07;0.4;9.4;5;white
W2796;6.4;0.22;0.32;7.2;0.028;15.0;83.0;0.993;3.13;0.55;10.9;8;white
W2797;6.5;0.37;0.3;2.2;0.033;39.0;107.0;0.98894;3.22;0.53;13.5;7;white
W2798;6.8;0.35;0.53;10.1;0.053;37.0;151.0;0.9963;3.07;0.4;9.4;5;white
W2799;6.9;0.31;0.32;1.6;0.036;34.0;114.0;0.99068;3.19;0.45;11.4;7;white
W2800;6.7;0.16;0.37;1.3;0.036;45.0;125.0;0.98964;3.19;0.51;12.4;7;white
W2801;6.6;0.25;0.51;8.0;0.047;61.0;189.0;0.99604;3.22;0.49;9.2;5;white
W2802;6.8;0.26;0.44;8.2;0.046;52.0;183.0;0.99584;3.2;0.51;9.4;5;white
W2803;5.6;0.15;0.31;5.3;0.038;8.0;79.0;0.9923;3.3;0.39;10.5;6;white
W2804;5.5;0.15;0.32;14.0;0.031;16.0;99.0;0.99437;3.26;0.38;11.5;8;white
W2805;6.4;0.22;0.32;7.2;0.028;15.0;83.0;0.993;3.13;0.55;10.9;8;white
W2806;7.3;0.2;0.26;1.6;0.04;36.0;123.0;0.99238;3.34;0.44;10.8;6;white
W2807;7.5;0.17;0.71;11.8;0.038;52.0;148.0;0.99801;3.03;0.46;8.9;5;white
W2808;7.5;0.18;0.72;9.6;0.039;53.0;151.0;0.99802;3.03;0.46;8.9;5;white
W2809;7.0;0.27;0.48;6.1;0.042;60.0;184.0;0.99566;3.2;0.5;9.4;6;white
W2810;5.8;0.32;0.31;2.7;0.049;25.0;153.0;0.99067;3.44;0.73;12.2;7;white
W2811;7.8;0.26;0.31;3.6;0.025;22.0;100.0;0.99066;2.99;0.47;12.1;7;white
W2812;7.4;0.3;0.32;1.7;0.03;23.0;128.0;0.9929;3.17;0.66;10.9;5;white
W2813;6.7;0.16;0.34;1.6;0.026;27.0;109.0;0.9934;3.34;0.58;10.1;6;white
W2814;5.8;0.32;0.31;2.7;0.049;25.0;153.0;0.99067;3.44;0.73;12.2;7;white
W2815;6.7;0.19;0.39;1.0;0.032;14.0;71.0;0.98912;3.31;0.38;13.0;7;white
W2816;6.6;0.36;0.24;0.9;0.038;15.0;72.0;0.99066;3.23;0.39;11.0;5;white
W2817;7.2;0.17;0.41;1.6;0.052;24.0;126.0;0.99228;3.19;0.49;10.8;5;white
W2818;6.7;0.19;0.39;1.0;0.032;14.0;71.0;0.98912;3.31;0.38;13.0;7;white
W2819;6.0;0.11;0.47;10.6;0.052;69.0;148.0;0.9958;2.91;0.34;9.3;4;white
W2820;6.0;0.21;0.34;2.0;0.042;63.0;123.0;0.99052;3.44;0.42;11.4;6;white
W2821;6.7;0.325;0.82;1.2;0.152;49.0;120.0;0.99312;2.99;0.38;9.2;5;white
W2822;6.6;0.4;0.46;6.2;0.056;42.0;241.0;0.9968;3.5;0.6;9.9;5;white
W2823;6.5;0.2;0.24;9.2;0.044;25.0;150.0;0.99502;3.22;0.44;10.5;5;white
W2824;7.6;0.27;0.34;5.0;0.04;18.0;56.0;0.99084;3.06;0.48;12.4;6;white
W2825;7.2;0.26;0.4;6.3;0.047;52.0;172.0;0.99573;3.18;0.53;9.5;6;white
W2826;6.3;0.25;0.22;3.3;0.048;41.0;161.0;0.99256;3.16;0.5;10.5;6;white
W2827;6.5;0.22;0.45;8.0;0.053;52.0;196.0;0.9959;3.23;0.48;9.1;6;white
W2828;6.4;0.14;0.31;1.2;0.034;53.0;138.0;0.99084;3.38;0.35;11.5;7;white
W2829;6.4;0.14;0.31;1.2;0.034;53.0;138.0;0.99084;3.38;0.35;11.5;7;white
W2830;7.1;0.26;0.32;16.2;0.044;31.0;170.0;0.99644;3.17;0.37;11.2;5;white
W2831;6.6;0.22;0.34;11.6;0.05;59.0;140.0;0.99526;3.22;0.4;10.8;5;white
W2832;6.6;0.45;0.43;7.2;0.064;31.0;186.0;0.9954;3.12;0.44;9.4;5;white
W2833;6.6;0.17;0.3;1.1;0.031;13.0;73.0;0.99095;3.17;0.58;11.0;6;white
W2834;7.2;0.44;0.28;3.4;0.048;22.0;112.0;0.99188;3.21;0.37;11.3;7;white
W2835;6.2;0.15;0.27;1.4;0.041;51.0;117.0;0.9909;3.28;0.38;11.2;6;white
W2836;6.3;0.25;0.22;3.3;0.048;41.0;161.0;0.99256;3.16;0.5;10.5;6;white
W2837;6.5;0.22;0.45;8.0;0.053;52.0;196.0;0.9959;3.23;0.48;9.1;6;white
W2838;7.3;0.26;0.3;9.3;0.05;35.0;154.0;0.99581;3.21;0.5;10.4;6;white
W2839;6.9;0.15;0.29;2.3;0.033;14.0;82.0;0.99132;3.1;0.58;11.2;7;white
W2840;5.8;0.22;0.29;0.9;0.034;34.0;89.0;0.98936;3.14;0.36;11.1;7;white
W2841;6.5;0.37;0.33;3.5;0.036;23.0;92.0;0.99136;3.18;0.38;11.2;6;white
W2842;5.5;0.375;0.38;1.7;0.036;17.0;98.0;0.99142;3.29;0.39;10.5;6;white
W2843;5.9;0.2;0.4;1.3;0.047;23.0;92.0;0.99232;3.2;0.45;10.0;6;white
W2844;5.9;0.22;0.38;1.3;0.046;24.0;90.0;0.99232;3.2;0.47;10.0;6;white
W2845;8.0;0.22;0.31;5.6;0.049;24.0;97.0;0.993;3.1;0.42;10.9;5;white
W2846;6.5;0.22;0.29;7.4;0.028;16.0;87.0;0.99311;3.15;0.56;10.9;7;white
W2847;6.9;0.15;0.29;2.3;0.033;14.0;82.0;0.99132;3.1;0.58;11.2;7;white
W2848;5.8;0.2;0.34;1.0;0.035;40.0;86.0;0.98993;3.5;0.42;11.7;5;white
W2849;6.6;0.31;0.07;1.5;0.033;55.0;144.0;0.99208;3.16;0.42;10.0;5;white
W2850;7.7;0.43;0.37;10.0;0.169;22.0;210.0;0.99776;3.02;0.64;9.5;5;white
W2851;6.7;0.24;0.29;14.9;0.053;55.0;136.0;0.99839;3.03;0.52;9.0;5;white
W2852;7.3;0.23;0.34;9.3;0.052;19.0;86.0;0.99574;3.04;0.56;10.0;5;white
W2853;7.9;0.2;0.39;1.0;0.041;37.0;154.0;0.99093;3.08;0.43;11.9;5;white
W2854;5.3;0.16;0.39;1.0;0.028;40.0;101.0;0.99156;3.57;0.59;10.6;6;white
W2855;6.4;0.21;0.28;5.9;0.047;29.0;101.0;0.99278;3.15;0.4;11.0;6;white
W2856;6.9;0.33;0.26;5.0;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;7;white
W2857;5.6;0.18;0.58;1.25;0.034;29.0;129.0;0.98984;3.51;0.6;12.0;7;white
W2858;6.6;0.29;0.31;3.9;0.027;39.0;96.0;0.99035;3.24;0.6;12.6;8;white
W2859;6.9;0.33;0.26;5.0;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;7;white
W2860;6.6;0.21;0.36;0.8;0.034;48.0;113.0;0.99165;3.24;0.68;10.5;6;white
W2861;7.3;0.21;0.33;1.0;0.037;66.0;144.0;0.9923;3.11;0.52;10.2;6;white
W2862;6.4;0.21;0.28;5.9;0.047;29.0;101.0;0.99278;3.15;0.4;11.0;6;white
W2863;5.1;0.11;0.32;1.6;0.028;12.0;90.0;0.99008;3.57;0.52;12.2;6;white
W2864;6.5;0.15;0.32;1.3;0.036;19.0;76.0;0.98964;3.18;0.41;12.3;6;white
W2865;5.3;0.16;0.39;1.0;0.028;40.0;101.0;0.99156;3.57;0.59;10.6;6;white
W2866;5.6;0.19;0.46;1.1;0.032;33.0;115.0;0.9909;3.36;0.5;10.4;6;white
W2867;5.6;0.18;0.58;1.25;0.034;29.0;129.0;0.98984;3.51;0.6;12.0;7;white
W2868;6.7;0.48;0.32;1.4;0.021;22.0;121.0;0.9889;3.15;0.53;12.7;7;white
W2869;6.2;0.23;0.23;1.2;0.018;18.0;128.0;0.99178;3.05;0.28;10.6;5;white
W2870;6.0;0.17;0.29;5.0;0.028;25.0;108.0;0.99076;3.14;0.34;12.3;6;white
W2871;6.7;0.48;0.32;1.4;0.021;22.0;121.0;0.9889;3.15;0.53;12.7;7;white
W2872;6.7;0.15;0.38;1.7;0.037;20.0;84.0;0.99046;3.09;0.53;11.4;6;white
W2873;4.2;0.17;0.36;1.8;0.029;93.0;161.0;0.98999;3.65;0.89;12.0;7;white
W2874;5.8;0.21;0.32;1.6;0.045;38.0;95.0;0.98946;3.23;0.94;12.4;8;white
W2875;5.4;0.23;0.36;1.5;0.03;74.0;121.0;0.98976;3.24;0.99;12.1;7;white
W2876;6.7;0.15;0.38;1.7;0.037;20.0;84.0;0.99046;3.09;0.53;11.4;6;white
W2877;6.4;0.22;0.31;13.9;0.04;57.0;135.0;0.99672;3.21;0.38;10.7;5;white
W2878;6.5;0.15;0.55;5.9;0.045;75.0;162.0;0.99482;2.97;0.4;9.3;5;white
W2879;5.9;0.32;0.33;2.1;0.027;35.0;138.0;0.98945;3.37;0.42;12.7;6;white
W2880;5.7;0.37;0.3;1.1;0.029;24.0;88.0;0.98883;3.18;0.39;11.7;6;white
W2881;7.9;0.25;0.35;6.7;0.039;22.0;64.0;0.99362;2.93;0.49;10.7;5;white
W2882;7.2;0.21;0.28;2.7;0.033;38.0;94.0;0.99075;2.99;0.43;11.8;7;white
W2883;7.0;0.24;0.3;6.7;0.039;37.0;125.0;0.99436;3.2;0.39;9.9;5;white
W2884;6.8;0.475;0.33;3.95;0.047;16.0;81.0;0.98988;3.23;0.53;13.4;7;white
W2885;7.0;0.28;0.32;7.75;0.032;30.0;114.0;0.99158;3.12;0.64;12.8;7;white
W2886;6.9;0.4;0.3;10.6;0.033;24.0;87.0;0.99265;3.15;0.45;12.8;6;white
W2887;6.6;0.41;0.31;1.6;0.042;18.0;101.0;0.99195;3.13;0.41;10.5;5;white
W2888;6.4;0.2;0.28;2.5;0.032;24.0;84.0;0.99168;3.31;0.55;11.5;5;white
W2889;8.5;0.22;0.34;0.7;0.04;5.0;25.0;0.9918;3.04;0.37;10.5;4;white
W2890;8.4;0.36;0.36;11.1;0.032;21.0;132.0;0.99313;2.95;0.39;13.0;6;white
W2891;5.2;0.285;0.29;5.15;0.035;64.0;138.0;0.9895;3.19;0.34;12.4;8;white
W2892;6.9;0.2;0.3;4.7;0.041;40.0;148.0;0.9932;3.16;0.35;10.2;6;white
W2893;6.7;0.42;0.46;9.7;0.054;67.0;234.0;0.99848;3.23;0.5;9.0;5;white
W2894;6.2;0.16;0.34;1.7;0.038;85.0;153.0;0.9909;3.33;0.86;12.0;7;white
W2895;6.4;0.125;0.36;1.4;0.044;22.0;68.0;0.99014;3.15;0.5;11.7;7;white
W2896;6.4;0.44;0.26;2.0;0.054;20.0;180.0;0.9952;3.58;0.57;10.0;5;white
W2897;7.0;0.31;0.39;7.5;0.055;42.0;218.0;0.99652;3.37;0.54;10.3;5;white
W2898;6.7;0.42;0.46;9.7;0.054;67.0;234.0;0.99848;3.23;0.5;9.0;5;white
W2899;8.6;0.18;0.28;0.8;0.032;25.0;78.0;0.99104;2.99;0.38;11.1;5;white
W2900;6.2;0.21;0.26;13.1;0.05;59.0;150.0;0.99772;3.31;0.46;9.0;5;white
W2901;6.1;0.16;0.37;1.1;0.031;37.0;97.0;0.9922;3.4;0.58;10.5;6;white
W2902;6.5;0.22;0.32;2.2;0.028;36.0;92.0;0.99076;3.27;0.59;11.9;7;white
W2903;6.2;0.36;0.14;8.9;0.036;38.0;155.0;0.99622;3.27;0.5;9.4;5;white
W2904;5.7;0.21;0.25;1.1;0.035;26.0;81.0;0.9902;3.31;0.52;11.4;6;white
W2905;6.4;0.25;0.32;0.9;0.034;40.0;114.0;0.99114;3.31;0.58;10.8;7;white
W2906;7.6;0.31;0.26;1.7;0.073;40.0;157.0;0.9938;3.1;0.46;9.8;5;white
W2907;6.6;0.26;0.46;6.9;0.047;59.0;183.0;0.99594;3.2;0.45;9.3;5;white
W2908;5.7;0.21;0.25;1.1;0.035;26.0;81.0;0.9902;3.31;0.52;11.4;6;white
W2909;6.2;0.2;0.31;1.0;0.031;22.0;73.0;0.99035;3.24;0.52;11.3;6;white
W2910;6.2;0.18;0.3;1.0;0.031;23.0;73.0;0.99032;3.23;0.52;11.3;6;white
W2911;6.1;0.37;0.2;7.6;0.031;49.0;170.0;0.99558;3.22;0.48;9.5;5;white
W2912;6.2;0.36;0.14;8.9;0.036;38.0;155.0;0.99622;3.27;0.5;9.4;5;white
W2913;6.5;0.22;0.32;2.2;0.028;36.0;92.0;0.99076;3.27;0.59;11.9;7;white
W2914;7.7;0.18;0.3;1.2;0.046;49.0;199.0;0.99413;3.03;0.38;9.3;5;white
W2915;6.9;0.14;0.38;1.0;0.041;22.0;81.0;0.99043;3.03;0.54;11.4;6;white
W2916;6.9;0.14;0.38;1.0;0.041;22.0;81.0;0.99043;3.03;0.54;11.4;6;white
W2917;6.0;0.44;0.26;3.1;0.053;57.0;128.0;0.98982;3.22;0.39;12.7;6;white
W2918;7.1;0.36;0.4;1.95;0.033;26.0;118.0;0.98934;3.2;0.45;13.5;7;white
W2919;5.7;0.28;0.28;2.2;0.019;15.0;65.0;0.9902;3.06;0.52;11.2;6;white
W2920;6.4;0.16;0.32;8.75;0.038;38.0;118.0;0.99449;3.19;0.41;10.7;5;white
W2921;7.4;0.28;0.4;11.9;0.032;13.0;92.0;0.99629;3.01;0.46;10.8;4;white
W2922;6.7;0.39;0.31;2.7;0.054;27.0;202.0;0.9948;3.46;0.57;10.5;6;white
W2923;6.5;0.44;0.47;5.45;0.014;44.0;137.0;0.98984;3.13;0.32;13.0;8;white
W2924;6.9;0.22;0.31;6.3;0.029;41.0;131.0;0.99326;3.08;0.49;10.8;6;white
W2925;6.6;0.22;0.29;14.4;0.046;39.0;118.0;0.99834;3.05;0.5;9.1;6;white
W2926;7.7;0.25;0.3;7.8;0.038;67.0;196.0;0.99555;3.1;0.5;10.1;5;white
W2927;5.2;0.155;0.33;1.6;0.028;13.0;59.0;0.98975;3.3;0.84;11.9;8;white
W2928;7.0;0.31;0.31;9.1;0.036;45.0;140.0;0.99216;2.98;0.31;12.0;7;white
W2929;7.0;0.31;0.31;9.1;0.036;45.0;140.0;0.99216;2.98;0.31;12.0;7;white
W2930;6.6;0.22;0.29;14.4;0.046;39.0;118.0;0.99834;3.05;0.5;9.1;6;white
W2931;5.6;0.21;0.4;1.3;0.041;81.0;147.0;0.9901;3.22;0.95;11.6;8;white
W2932;5.2;0.155;0.33;1.6;0.028;13.0;59.0;0.98975;3.3;0.84;11.9;8;white
W2933;6.4;0.25;0.32;11.3;0.038;69.0;192.0;0.99573;3.14;0.5;10.2;6;white
W2934;6.9;0.22;0.31;6.3;0.029;41.0;131.0;0.99326;3.08;0.49;10.8;6;white
W2935;5.3;0.21;0.29;0.7;0.028;11.0;66.0;0.99215;3.3;0.4;9.8;5;white
W2936;7.1;0.27;0.28;1.25;0.023;3.0;89.0;0.98993;2.95;0.3;11.4;4;white
W2937;5.2;0.17;0.27;0.7;0.03;11.0;68.0;0.99218;3.3;0.41;9.8;5;white
W2938;7.7;0.25;0.3;7.8;0.038;67.0;196.0;0.99555;3.1;0.5;10.1;5;white
W2939;7.0;0.12;0.29;10.3;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8;white
W2940;7.0;0.12;0.29;10.3;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8;white
W2941;7.1;0.29;0.34;7.8;0.036;49.0;128.0;0.99397;3.21;0.4;10.7;6;white
W2942;7.2;0.3;0.3;8.7;0.022;14.0;111.0;0.99576;3.11;0.61;10.6;5;white
W2943;6.8;0.26;0.46;8.3;0.037;49.0;173.0;0.99601;3.17;0.47;9.3;5;white
W2944;7.0;0.12;0.29;10.3;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;8;white
W2945;7.1;0.29;0.34;7.8;0.036;49.0;128.0;0.99397;3.21;0.4;10.7;6;white
W2946;4.9;0.33;0.31;1.2;0.016;39.0;150.0;0.98713;3.33;0.59;14.0;8;white
W2947;5.1;0.29;0.28;8.3;0.026;27.0;107.0;0.99308;3.36;0.37;11.0;6;white
W2948;5.1;0.29;0.28;8.3;0.026;27.0;107.0;0.99308;3.36;0.37;11.0;6;white
W2949;6.8;0.26;0.48;6.2;0.049;55.0;182.0;0.99582;3.21;0.45;9.4;6;white
W2950;6.0;0.28;0.52;5.0;0.078;30.0;139.0;0.99494;3.1;0.36;9.0;6;white
W2951;6.0;0.28;0.25;1.8;0.042;8.0;108.0;0.9929;3.08;0.55;9.0;5;white
W2952;7.2;0.2;0.22;1.6;0.044;17.0;101.0;0.99471;3.37;0.53;10.0;5;white
W2953;6.1;0.27;0.25;1.8;0.041;9.0;109.0;0.9929;3.08;0.54;9.0;5;white
W2954;6.0;0.28;0.25;1.8;0.042;8.0;108.0;0.9929;3.08;0.55;9.0;5;white
W2955;6.4;0.29;0.3;2.9;0.036;25.0;79.0;0.99037;3.29;0.6;12.4;7;white
W2956;7.4;0.35;0.24;6.0;0.042;28.0;123.0;0.99304;3.14;0.44;11.3;5;white
W2957;8.1;0.12;0.38;0.9;0.034;36.0;86.0;0.99026;2.8;0.55;12.0;6;white
W2958;6.4;0.12;0.3;1.1;0.031;37.0;94.0;0.98986;3.01;0.56;11.7;6;white
W2959;7.2;0.2;0.22;1.6;0.044;17.0;101.0;0.99471;3.37;0.53;10.0;5;white
W2960;7.3;0.4;0.26;5.45;0.016;26.0;90.0;0.98951;2.84;0.54;13.2;7;white
W2961;7.7;0.11;0.34;14.05;0.04;41.0;114.0;0.99634;3.07;0.59;11.0;7;white
W2962;6.9;0.23;0.41;8.0;0.03;30.0;114.0;0.99368;3.22;0.54;11.0;6;white
W2963;6.9;0.38;0.38;13.1;0.112;14.0;94.0;0.99792;3.02;0.48;9.2;5;white
W2964;7.5;0.38;0.29;4.9;0.021;38.0;113.0;0.99026;3.08;0.48;13.0;7;white
W2965;5.8;0.19;0.24;1.3;0.044;38.0;128.0;0.99362;3.77;0.6;10.6;5;white
W2966;5.5;0.34;0.26;2.2;0.021;31.0;119.0;0.98919;3.55;0.49;13.0;8;white
W2967;6.6;0.23;0.3;14.9;0.051;33.0;118.0;0.99835;3.04;0.54;9.0;6;white
W2968;6.6;0.23;0.3;14.9;0.051;33.0;118.0;0.99835;3.04;0.54;9.0;6;white
W2969;8.4;0.31;0.31;0.95;0.021;52.0;148.0;0.99038;2.93;0.32;11.5;5;white
W2970;6.7;0.2;0.3;1.4;0.025;17.0;76.0;0.99104;3.11;0.44;11.0;6;white
W2971;8.4;0.31;0.31;0.95;0.021;52.0;148.0;0.99038;2.93;0.32;11.5;5;white
W2972;7.3;0.26;0.24;1.7;0.05;10.0;112.0;0.99286;3.11;0.43;9.9;5;white
W2973;6.3;0.22;0.22;5.6;0.039;31.0;128.0;0.99296;3.12;0.46;10.4;6;white
W2974;6.6;0.23;0.3;14.9;0.051;33.0;118.0;0.99835;3.04;0.54;9.0;6;white
W2975;7.5;0.19;0.4;7.1;0.056;50.0;110.0;0.9954;3.06;0.52;9.9;6;white
W2976;8.0;0.14;0.33;1.2;0.045;71.0;162.0;0.9914;3.07;0.47;11.0;6;white
W2977;6.8;0.32;0.39;9.6;0.026;34.0;124.0;0.99286;3.18;0.35;12.1;6;white
W2978;6.6;0.23;0.2;11.4;0.044;45.0;131.0;0.99604;2.96;0.51;9.7;6;white
W2979;6.6;0.23;0.2;11.4;0.044;45.0;131.0;0.99604;2.96;0.51;9.7;6;white
W2980;6.7;0.36;0.26;7.9;0.034;39.0;123.0;0.99119;2.99;0.3;12.2;7;white
W2981;6.1;0.38;0.42;5.0;0.016;31.0;113.0;0.99007;3.15;0.31;12.4;7;white
W2982;8.5;0.23;0.28;11.1;0.033;30.0;97.0;0.99507;3.03;0.39;10.5;7;white
W2983;7.0;0.2;0.31;8.0;0.05;29.0;213.0;0.99596;3.28;0.57;10.4;6;white
W2984;6.0;0.26;0.32;3.8;0.029;48.0;180.0;0.99011;3.15;0.34;12.0;6;white
W2985;6.9;0.3;0.3;10.55;0.037;4.0;28.0;0.99184;3.07;0.32;12.7;6;white
W2986;6.7;0.18;0.28;10.2;0.039;29.0;115.0;0.99469;3.11;0.45;10.9;7;white
W2987;6.7;0.18;0.28;10.2;0.039;29.0;115.0;0.99469;3.11;0.45;10.9;7;white
W2988;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;white
W2989;7.2;0.19;0.31;6.3;0.034;17.0;103.0;0.99305;3.15;0.52;11.4;7;white
W2990;6.2;0.16;0.32;1.1;0.036;74.0;184.0;0.99096;3.22;0.41;11.0;6;white
W2991;5.0;0.27;0.32;4.5;0.032;58.0;178.0;0.98956;3.45;0.31;12.6;7;white
W2992;6.3;0.37;0.28;6.3;0.034;45.0;152.0;0.9921;3.29;0.46;11.6;7;white
W2993;6.6;0.2;0.27;10.9;0.038;29.0;130.0;0.99496;3.11;0.44;10.5;7;white
W2994;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;white
W2995;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;white
W2996;6.6;0.28;0.34;0.8;0.037;42.0;119.0;0.9888;3.03;0.37;12.5;6;white
W2997;6.5;0.35;0.36;0.8;0.034;32.0;111.0;0.98942;3.11;0.5;12.1;8;white
W2998;6.9;0.25;0.33;1.2;0.035;35.0;158.0;0.99082;3.02;0.58;11.3;6;white
W2999;6.0;0.32;0.3;1.3;0.025;18.0;112.0;0.98802;3.07;0.64;13.3;7;white
W3000;6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;white
W3001;6.7;0.18;0.28;10.2;0.039;29.0;115.0;0.99469;3.11;0.45;10.9;7;white
W3002;6.6;0.2;0.27;10.9;0.038;29.0;130.0;0.99496;3.11;0.44;10.5;7;white
W3003;6.3;0.37;0.28;6.3;0.034;45.0;152.0;0.9921;3.29;0.46;11.6;7;white
W3004;7.2;0.19;0.31;6.3;0.034;17.0;103.0;0.99305;3.15;0.52;11.4;7;white
W3005;6.3;0.18;0.36;1.2;0.034;26.0;111.0;0.99074;3.16;0.51;11.0;6;white
W3006;6.9;0.3;0.36;0.9;0.037;40.0;156.0;0.98968;3.08;0.36;12.1;6;white
W3007;6.2;0.16;0.32;1.1;0.036;74.0;184.0;0.99096;3.22;0.41;11.0;6;white
W3008;5.0;0.27;0.32;4.5;0.032;58.0;178.0;0.98956;3.45;0.31;12.6;7;white
W3009;5.0;0.3;0.33;3.7;0.03;54.0;173.0;0.9887;3.36;0.3;13.0;7;white
W3010;6.5;0.2;0.5;18.1;0.054;50.0;221.0;0.99941;2.94;0.64;8.8;6;white
